effective_defense,structural_role,outcome,blocks,mean,sd_across_blocks
logitguard_quantized,stress,prediction_collapse,8,0.0,0.0
logitguard_quantized,stress,nll,8,0.5731001272797585,0.03767678234955012
measurementguard_continuous,low,accuracy,8,0.583,0.06615242140045108
measurementguard_continuous,low,balanced_accuracy,8,0.6192113830819185,0.03293270044656919
measurementguard_continuous,low,task_roc_auc,8,0.6568684326697993,0.03891839873336316
measurementguard_continuous,low,task_average_precision,8,0.34548347015871594,0.04840001603634306
measurementguard_continuous,low,minority_class_recall,8,0.684106334841629,0.10390319217481542
measurementguard_continuous,low,prediction_collapse,8,0.0,0.0
measurementguard_continuous,low,nll,8,0.5107551664113998,0.016641092260056507
measurementguard_continuous,repetition,accuracy,8,0.665375,0.07289461571337078
measurementguard_continuous,repetition,balanced_accuracy,8,0.6255928385968785,0.0184497635528869
measurementguard_continuous,repetition,task_roc_auc,8,0.6563462954303869,0.029564674210637673
measurementguard_continuous,repetition,task_average_precision,8,0.35674864776299947,0.032810172072466955
measurementguard_continuous,repetition,minority_class_recall,8,0.5542986425339367,0.13839793884323187
measurementguard_continuous,repetition,prediction_collapse,8,0.0,0.0
measurementguard_continuous,repetition,nll,8,0.575251005589962,0.06904207679496598
measurementguard_continuous,stress,accuracy,8,0.5996874999999999,0.11111574965516172
measurementguard_continuous,stress,balanced_accuracy,8,0.5947755780993151,0.022786565092000433
measurementguard_continuous,stress,task_roc_auc,8,0.6219119208115753,0.029168889124739864
measurementguard_continuous,stress,task_average_precision,8,0.3213194101019582,0.021584150033987358
measurementguard_continuous,stress,minority_class_recall,8,0.5859728506787331,0.18267241892136846
measurementguard_continuous,stress,prediction_collapse,8,0.0,0.0
