target_id,block_id,structural_role,training_defense,defense,effective_defense,accuracy,balanced_accuracy,mean_entropy,minimum_class_recall,minority_class_label,minority_class_recall,minority_prevalence,nll,predicted_class_0_fraction,predicted_class_1_fraction,predicted_minority_fraction,prediction_collapse,task_average_precision,task_roc_auc
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b06__l2,petsv2_b06,repetition,l2,none,l2,0.544,0.6433035740216893,0.4734821915626526,0.4653401797175867,1.0,0.8212669683257918,0.221,0.4900643229484558,0.402,0.598,0.598,0.0,0.4055382979415242,0.7010866408378302
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b06__none,petsv2_b06,repetition,none,dynanoise,dynanoise,0.2225,0.5009627727856226,0.6862736344337463,0.0019255455712451862,1.0,1.0,0.221,0.6412670016288757,0.0015,0.9985,0.9985,0.0,0.35303932651904457,0.6385579609546989
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b06__none,petsv2_b06,repetition,none,hamp_output,hamp_output,0.6995,0.6102222364209829,0.41452181339263916,0.4502262443438914,1.0,0.4502262443438914,0.221,0.5800101161003113,0.7215,0.2785,0.2785,0.0,0.37636105051869034,0.6350052858113721
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b06__none,petsv2_b06,repetition,none,lattice_round,lattice_round,0.699,0.6074704197863603,0.434063583612442,0.4434389140271493,1.0,0.4434389140271493,0.221,0.5146189332008362,0.724,0.276,0.276,0.0,0.39566992998718353,0.6842032655858827
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b06__none,petsv2_b06,repetition,none,logitguard_continuous,logitguard_continuous,0.6995,0.6102222364209829,0.40726032853126526,0.4502262443438914,1.0,0.4502262443438914,0.221,0.5203527212142944,0.7215,0.2785,0.2785,0.0,0.4006729489765519,0.6775763974000778
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b06__none,petsv2_b06,repetition,none,logitguard_quantized,logitguard_quantized,0.6995,0.6102222364209829,0.40727800130844116,0.4502262443438914,1.0,0.4502262443438914,0.221,0.5203817486763,0.7215,0.2785,0.2785,0.0,0.3947981604305083,0.6775371894585819
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b06__none,petsv2_b06,repetition,none,measurementguard_continuous,measurementguard_continuous,0.6995,0.6102222364209829,0.3604811429977417,0.4502262443438914,1.0,0.4502262443438914,0.221,0.6111558079719543,0.7215,0.2785,0.2785,0.0,0.35340260932735246,0.6521202783473417
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b06__none,petsv2_b06,repetition,none,memgq_lattice,memgq_lattice,0.6995,0.6102222364209829,0.34435632824897766,0.4502262443438914,1.0,0.4502262443438914,0.221,0.620451033115387,0.7215,0.2785,0.2785,0.0,0.3528509883800266,0.6332038987215307
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b06__none,petsv2_b06,repetition,none,memgq_lattice_sticky,memgq_lattice_sticky,0.701,0.613615901579354,0.3450618386268616,0.45701357466063347,1.0,0.45701357466063347,0.221,0.6159988045692444,0.72,0.28,0.28,0.0,0.36139506664489013,0.6386719544142333
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b06__none,petsv2_b06,repetition,none,memguard,memguard,0.6995,0.6102222364209829,0.42671889066696167,0.4502262443438914,1.0,0.4502262443438914,0.221,0.5151712894439697,0.7215,0.2785,0.2785,0.0,0.39655589619187925,0.6851653122985147
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b06__none,petsv2_b06,repetition,none,none,none,0.6995,0.6102222364209829,0.4342746138572693,0.4502262443438914,1.0,0.4502262443438914,0.221,0.5139080882072449,0.7215,0.2785,0.2785,0.0,0.3963279844149098,0.6848908567080432
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b07__dp_qml,petsv2_b07,repetition,dp_qml,none,dp_qml,0.656,0.5871636103834246,0.41825559735298157,0.4638009049773756,1.0,0.4638009049773756,0.221,0.5246472358703613,0.672,0.328,0.328,0.0,0.31128762753196837,0.6333563740495705
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b07__hamp_train,petsv2_b07,repetition,hamp_train,hamp_output,hamp_full,0.691,0.6323166375269373,0.6720684766769409,0.5271493212669683,1.0,0.5271493212669683,0.221,0.6055426001548767,0.679,0.321,0.321,0.0,0.32521607237203426,0.6376496436433762
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b07__hamp_train,petsv2_b07,repetition,hamp_train,none,hamp_train,0.691,0.6323166375269373,0.6753031611442566,0.5271493212669683,1.0,0.5271493212669683,0.221,0.6028797626495361,0.679,0.321,0.321,0.0,0.3331973985425197,0.6604868174187815
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b07__l2,petsv2_b07,repetition,l2,none,l2,0.6835,0.6185895015654134,0.43538179993629456,0.502262443438914,1.0,0.502262443438914,0.221,0.5177232027053833,0.6825,0.3175,0.3175,0.0,0.33839935631015466,0.66604853652728
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b07__none,petsv2_b07,repetition,none,dynanoise,dynanoise,0.221,0.5,0.6847496628761292,0.0,1.0,1.0,0.221,0.6355949640274048,0.0,1.0,1.0,1.0,0.3056047123473155,0.6287312890990305
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b07__none,petsv2_b07,repetition,none,hamp_output,hamp_output,0.6845,0.6257137297498243,0.36765313148498535,0.5203619909502263,1.0,0.5203619909502263,0.221,0.6209456324577332,0.6755,0.3245,0.3245,0.0,0.33929090122429123,0.6410062790792233
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b07__none,petsv2_b07,repetition,none,lattice_round,lattice_round,0.6845,0.6281446221225728,0.40368959307670593,0.5271493212669683,1.0,0.5271493212669683,0.221,0.5285378694534302,0.6725,0.3275,0.3275,0.0,0.35650769871528987,0.6762927003525809
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b07__none,petsv2_b07,repetition,none,logitguard_continuous,logitguard_continuous,0.6845,0.6257137297498243,0.4168125092983246,0.5203619909502263,1.0,0.5203619909502263,0.221,0.545885443687439,0.6755,0.3245,0.3245,0.0,0.35316511738352463,0.6708899912290383
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b07__none,petsv2_b07,repetition,none,logitguard_quantized,logitguard_quantized,0.6845,0.6257137297498243,0.4168102443218231,0.5203619909502263,1.0,0.5203619909502263,0.221,0.5458759069442749,0.6755,0.3245,0.3245,0.0,0.3477510308318663,0.6710148757834328
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b07__none,petsv2_b07,repetition,none,measurementguard_continuous,measurementguard_continuous,0.6845,0.6257137297498243,0.38403621315956116,0.5203619909502263,1.0,0.5203619909502263,0.221,0.5624024271965027,0.6755,0.3245,0.3245,0.0,0.35972744931987494,0.6715521697965253
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b07__none,petsv2_b07,repetition,none,memgq_lattice,memgq_lattice,0.6845,0.6257137297498243,0.389495313167572,0.5203619909502263,1.0,0.5203619909502263,0.221,0.5665745139122009,0.6755,0.3245,0.3245,0.0,0.3528476436854048,0.6628472807114354
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b07__none,petsv2_b07,repetition,none,memgq_lattice_sticky,memgq_lattice_sticky,0.678,0.61586963214238,0.38821151852607727,0.504524886877828,1.0,0.504524886877828,0.221,0.5657058954238892,0.676,0.324,0.324,0.0,0.35303799737834907,0.6651569188947427
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b07__none,petsv2_b07,repetition,none,memguard,memguard,0.6845,0.6257137297498243,0.3930060863494873,0.5203619909502263,1.0,0.5203619909502263,0.221,0.5434293746948242,0.6755,0.3245,0.3245,0.0,0.3373268627264534,0.6726659657642063
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b07__none,petsv2_b07,repetition,none,none,none,0.6845,0.6257137297498243,0.4039175808429718,0.5203619909502263,1.0,0.5203619909502263,0.221,0.5284332036972046,0.6755,0.3245,0.3245,0.0,0.35688654666689007,0.6763152086152917
