attack,effective_defense,structural_contrast,contrast,mean_auc_difference,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks,p_exact_sign_flip,p_holm_all_secondary
global_true_class_log_odds,hamp_full,repetition-low,structural_difference_in_differences,0.008131249999999972,0.027051840939468167,-0.009063281250000036,0.025525937499999953,8,0.453125,1.0
global_true_class_log_odds,hamp_train,repetition-low,structural_difference_in_differences,0.014531249999999968,0.019790996103928527,0.0011187499999999878,0.026825937499999973,8,0.0859375,1.0
global_true_class_log_odds,l2,repetition-low,structural_difference_in_differences,-0.01280625000000004,0.020069778942123754,-0.025163125000000047,0.00025624999999996484,8,0.140625,1.0
global_true_class_log_odds,lattice_round,repetition-low,structural_difference_in_differences,-0.001125000000000001,0.002144761058952742,-0.00251265625,0.00022499999999997695,8,0.1953125,1.0
global_true_class_log_odds,logitguard_continuous,repetition-low,structural_difference_in_differences,0.00363124999999994,0.018181131064532622,-0.008362500000000023,0.015307343749999916,8,0.59375,1.0
global_true_class_log_odds,logitguard_quantized,repetition-low,structural_difference_in_differences,0.001237499999999954,0.017557716048995208,-0.010131718750000063,0.01231874999999994,8,0.7890625,1.0
global_true_class_log_odds,measurementguard_continuous,repetition-low,structural_difference_in_differences,-0.018200000000000008,0.02845678427771789,-0.03701250000000002,-0.0002981249999999955,8,0.1328125,1.0
global_true_class_log_odds,memgq_lattice,repetition-low,structural_difference_in_differences,-0.010581249999999973,0.023234594550552674,-0.02508749999999997,0.0052687500000000165,8,0.234375,1.0
global_true_class_log_odds,memgq_lattice_sticky,repetition-low,structural_difference_in_differences,-0.008006250000000027,0.015231767496631148,-0.018481406250000054,0.00122499999999999,8,0.1796875,1.0
global_true_class_log_odds,memguard,repetition-low,structural_difference_in_differences,0.0017999999999999822,0.0068767205639233536,-0.0023687500000000444,0.006562500000000013,8,0.46875,1.0
global_true_class_log_odds,dp_qml,stress-low,structural_difference_in_differences,-0.06785000000000006,0.019552548244593182,-0.08061250000000006,-0.05538078125000008,8,0.0078125,1.0
global_true_class_log_odds,dynanoise,stress-low,structural_difference_in_differences,0.00021875000000003142,0.00652719243407363,-0.003599999999999909,0.004712500000000022,8,0.9296875,1.0
global_true_class_log_odds,hamp_full,stress-low,structural_difference_in_differences,-0.004606250000000055,0.03674674366039608,-0.028062812500000076,0.01885218749999992,8,0.7421875,1.0
global_true_class_log_odds,hamp_train,stress-low,structural_difference_in_differences,0.002843750000000006,0.024813208428173885,-0.013044062499999993,0.019082031249999982,8,0.75,1.0
global_true_class_log_odds,l2,stress-low,structural_difference_in_differences,-0.027806249999999984,0.019910880684762704,-0.04088843750000005,-0.01512500000000002,8,0.0078125,1.0
global_true_class_log_odds,lattice_round,stress-low,structural_difference_in_differences,0.0005999999999999756,0.0020001785634572978,-0.0005499999999999128,0.0019999999999999046,8,0.5078125,1.0
global_true_class_log_odds,logitguard_continuous,stress-low,structural_difference_in_differences,-0.0031062500000000673,0.013361416667297813,-0.01158750000000007,0.005093749999999918,8,0.5546875,1.0
global_true_class_log_odds,logitguard_quantized,stress-low,structural_difference_in_differences,-0.0030625000000000444,0.01209461952392768,-0.011043750000000088,0.004362500000000019,8,0.5078125,1.0
global_true_class_log_odds,measurementguard_continuous,stress-low,structural_difference_in_differences,-0.00855000000000003,0.017787716467912836,-0.02006250000000008,0.002937812499999993,8,0.1640625,1.0
