target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction,evaluation_mean_probability_std,evaluation_mean_label_flip_rate,effective_defense
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,measurementguard_continuous,learned_pv_stats_logistic,adaptive_defended_calibration,0.5099,0.5,0.12,0.14,0.5628178233435555,,,,measurementguard_continuous
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,lattice_round,loss,adaptive_defended_calibration,0.5473,0.525,0.14,0.17,-0.1723264753818512,as_defined,,,lattice_round
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,lattice_round,confidence,adaptive_defended_calibration,0.5473,0.525,0.14,0.17,0.8417043387889862,as_defined,,,lattice_round
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,lattice_round,maximum_probability,adaptive_defended_calibration,0.5252,0.505,0.13,0.16,0.8473484218120575,as_defined,,,lattice_round
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,lattice_round,entropy,adaptive_defended_calibration,0.5252,0.505,0.13,0.16,-0.4272677302360534,as_defined,,,lattice_round
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,lattice_round,margin,adaptive_defended_calibration,0.5252,0.505,0.13,0.16,0.694696843624115,as_defined,,,lattice_round
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,lattice_round,correctness,adaptive_defended_calibration,0.51,0.51,0.0,0.0,0.5,as_defined,,,lattice_round
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,lattice_round,learned_pv_stats_logistic,adaptive_defended_calibration,0.5391,0.52,0.14,0.17,0.5627536780124784,,,,lattice_round
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice,loss,adaptive_defended_calibration,0.4612,0.495,0.07,0.12,-0.1657875180244445,as_defined,,,memgq_lattice
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice,confidence,adaptive_defended_calibration,0.4612,0.495,0.07,0.12,0.8472280204296112,as_defined,,,memgq_lattice
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice,maximum_probability,adaptive_defended_calibration,0.4863,0.51,0.08,0.15,0.8472280204296112,as_defined,,,memgq_lattice
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice,entropy,adaptive_defended_calibration,0.4863,0.51,0.08,0.15,-0.4274756908416748,as_defined,,,memgq_lattice
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice,margin,adaptive_defended_calibration,0.4863,0.51,0.08,0.15,0.6944560408592224,as_defined,,,memgq_lattice
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice,correctness,adaptive_defended_calibration,0.51,0.51,0.0,0.0,0.5,as_defined,,,memgq_lattice
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice,learned_pv_stats_logistic,adaptive_defended_calibration,0.4937,0.47,0.09,0.14,0.5622280343128657,,,,memgq_lattice
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,loss,adaptive_defended_calibration,0.4718,0.49,0.07,0.14,-0.168022409081459,as_defined,,,memgq_lattice_sticky
