effective_defense,attack,outcome,contrast,mean_difference,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
logitguard_quantized,learned_pv_stats_logistic,auc,high-low,0.030200000000000005,0.0,0.030200000000000005,0.030200000000000005,1
logitguard_quantized,lira_offline,auc,high-low,-0.042849999999999944,0.0,-0.042849999999999944,-0.042849999999999944,1
logitguard_quantized,lira_offline_fixed_variance,auc,high-low,-0.05795000000000006,0.0,-0.05795000000000006,-0.05795000000000006,1
logitguard_quantized,lira_online,auc,high-low,0.03640000000000004,0.0,0.03640000000000004,0.03640000000000004,1
logitguard_quantized,lira_online_fixed_variance,auc,high-low,0.004049999999999998,0.0,0.004049999999999998,0.004049999999999998,1
logitguard_quantized,loss,auc,high-low,0.08159999999999995,0.0,0.08159999999999995,0.08159999999999995,1
logitguard_quantized,margin,auc,high-low,0.03984999999999994,0.0,0.03984999999999994,0.03984999999999994,1
logitguard_quantized,maximum_probability,auc,high-low,0.03984999999999994,0.0,0.03984999999999994,0.03984999999999994,1
logitguard_quantized,nearby_query_logistic_q32,auc,high-low,-0.06269999999999998,0.0,-0.06269999999999998,-0.06269999999999998,1
measurementguard_continuous,confidence,auc,high-low,0.028500000000000025,0.0,0.028500000000000025,0.028500000000000025,1
measurementguard_continuous,correctness,auc,high-low,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,1
measurementguard_continuous,entropy,auc,high-low,-0.045599999999999974,0.0,-0.045599999999999974,-0.045599999999999974,1
measurementguard_continuous,global_true_class_log_odds,auc,high-low,0.07030000000000003,0.0,0.07030000000000003,0.07030000000000003,1
measurementguard_continuous,learned_pv_stats_logistic,auc,high-low,-0.05559999999999998,0.0,-0.05559999999999998,-0.05559999999999998,1
measurementguard_continuous,lira_offline,auc,high-low,0.011999999999999955,0.0,0.011999999999999955,0.011999999999999955,1
measurementguard_continuous,lira_offline_fixed_variance,auc,high-low,0.0018000000000000238,0.0,0.0018000000000000238,0.0018000000000000238,1
measurementguard_continuous,lira_online,auc,high-low,0.07260000000000005,0.0,0.07260000000000005,0.07260000000000005,1
measurementguard_continuous,lira_online_fixed_variance,auc,high-low,0.09560000000000013,0.0,0.09560000000000013,0.09560000000000013,1
measurementguard_continuous,loss,auc,high-low,0.028500000000000025,0.0,0.028500000000000025,0.028500000000000025,1
measurementguard_continuous,margin,auc,high-low,-0.045599999999999974,0.0,-0.045599999999999974,-0.045599999999999974,1
measurementguard_continuous,maximum_probability,auc,high-low,-0.045599999999999974,0.0,-0.045599999999999974,-0.045599999999999974,1
measurementguard_continuous,nearby_query_logistic_q32,auc,high-low,-0.017900000000000027,0.0,-0.017900000000000027,-0.017900000000000027,1
memgq_lattice,confidence,auc,high-low,-0.052699999999999914,0.0,-0.052699999999999914,-0.052699999999999914,1
memgq_lattice,correctness,auc,high-low,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,1
memgq_lattice,entropy,auc,high-low,0.007300000000000029,0.0,0.007300000000000029,0.007300000000000029,1
memgq_lattice,global_true_class_log_odds,auc,high-low,0.05650000000000005,0.0,0.05650000000000005,0.05650000000000005,1
memgq_lattice,learned_pv_stats_logistic,auc,high-low,0.0024000000000000132,0.0,0.0024000000000000132,0.0024000000000000132,1
memgq_lattice,lira_offline,auc,high-low,-0.006300000000000028,0.0,-0.006300000000000028,-0.006300000000000028,1
