target_id,experiment,dataset,architecture,run_id,model_seed,data_seed,attacker_seed,membership_convention,n_wires,depth,target_train_acc,target_test_acc,target_gap_acc,attack_acc,attack_auc,attack_f1,attack_precision,attack_recall,tpr@fpr=0.001,tpr@fpr=0.01,tpr@fpr=0.05,tpr@fpr=0.1,tuning_method,cv_best_auc,final_epochs,attack_results_json
CREDIT_QNN_z_r5_d2_b03,satml_credit_factorial,credit_default,QNN,-1,30263,20263,2026,"1=member,0=nonmember",6,2,0.835,0.752,0.08299999999999996,0.9090909090909091,0.541875,0.0,0.0,0.0,0.0,0.0,0.1,0.125,optuna,0.58296875,17,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r5_d2_b03/attack_results.json
CREDIT_QNN_z_r5_d2_b04,satml_credit_factorial,credit_default,QNN,-1,30264,20264,2026,"1=member,0=nonmember",6,2,0.825,0.7365,0.08849999999999991,0.9090909090909091,0.5103125,0.0,0.0,0.0,0.025,0.025,0.05,0.05,optuna,0.59501953125,37,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r5_d2_b04/attack_results.json
CREDIT_QNN_z_r5_d2_b05,satml_credit_factorial,credit_default,QNN,-1,30265,20265,2026,"1=member,0=nonmember",6,2,0.82,0.7495,0.0704999999999999,0.9090909090909091,0.52625,0.0,0.0,0.0,0.025,0.1,0.1,0.125,optuna,0.5822070312500001,8,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r5_d2_b05/attack_results.json
CREDIT_QNN_z_r5_d2_b06,satml_credit_factorial,credit_default,QNN,-1,30266,20266,2026,"1=member,0=nonmember",6,2,0.845,0.769,0.07599999999999996,0.9090909090909091,0.43725,0.0,0.0,0.0,0.0,0.0,0.0,0.075,optuna,0.598046875,9,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r5_d2_b06/attack_results.json
CREDIT_QNN_z_r5_d2_b07,satml_credit_factorial,credit_default,QNN,-1,30267,20267,2026,"1=member,0=nonmember",6,2,0.8,0.7525,0.0475000000000001,0.9090909090909091,0.51675,0.0,0.0,0.0,0.025,0.05,0.075,0.125,optuna,0.54728515625,8,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r5_d2_b07/attack_results.json
CREDIT_QNN_z_r5_d2_b08,satml_credit_factorial,credit_default,QNN,-1,30268,20268,2026,"1=member,0=nonmember",6,2,0.805,0.7775,0.02750000000000008,0.9090909090909091,0.490375,0.0,0.0,0.0,0.0,0.05,0.125,0.15,optuna,0.5725683593750001,11,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r5_d2_b08/attack_results.json
CREDIT_QNN_z_r5_d6_b01,satml_credit_factorial,credit_default,QNN,-1,30261,20261,2026,"1=member,0=nonmember",6,6,0.84,0.764,0.07599999999999996,0.9090909090909091,0.5678749999999999,0.0,0.0,0.0,0.0,0.025,0.1,0.225,optuna,0.59814453125,15,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r5_d6_b01/attack_results.json
CREDIT_QNN_z_r5_d6_b02,satml_credit_factorial,credit_default,QNN,-1,30262,20262,2026,"1=member,0=nonmember",6,6,0.84,0.7555,0.08450000000000002,0.9090909090909091,0.512,0.0,0.0,0.0,0.05,0.1,0.125,0.2,optuna,0.5701367187499999,16,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r5_d6_b02/attack_results.json
CREDIT_QNN_z_r5_d6_b03,satml_credit_factorial,credit_default,QNN,-1,30263,20263,2026,"1=member,0=nonmember",6,6,0.88,0.7535,0.12650000000000006,0.9090909090909091,0.610375,0.0,0.0,0.0,0.025,0.1,0.125,0.175,optuna,0.6225,9,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r5_d6_b03/attack_results.json
CREDIT_QNN_z_r5_d6_b04,satml_credit_factorial,credit_default,QNN,-1,30264,20264,2026,"1=member,0=nonmember",6,6,0.85,0.74,0.10999999999999999,0.9090909090909091,0.5650625,0.0,0.0,0.0,0.0,0.075,0.125,0.15,optuna,0.64421875,34,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r5_d6_b04/attack_results.json
CREDIT_QNN_z_r5_d6_b05,satml_credit_factorial,credit_default,QNN,-1,30265,20265,2026,"1=member,0=nonmember",6,6,0.845,0.74,0.10499999999999998,0.9090909090909091,0.634,0.0,0.0,0.0,0.0,0.125,0.2,0.275,optuna,0.57837890625,12,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r5_d6_b05/attack_results.json
CREDIT_QNN_z_r5_d6_b06,satml_credit_factorial,credit_default,QNN,-1,30266,20266,2026,"1=member,0=nonmember",6,6,0.86,0.7815,0.07850000000000001,0.9090909090909091,0.4645625000000001,0.0,0.0,0.0,0.0,0.0,0.075,0.1,optuna,0.60861328125,9,satml_results/credit_factorial/learned_mia/CREDIT_QNN_z_r5_d6_b06/attack_results.json
