attack,mode,queries,shots,effect,fm_kind,scope,n_paired_units,n_model_seed_blocks,mean,sd,ci95_low,ci95_high,ci_method,bootstrap_replicates
correctness,ideal_shot,1,512,depth_6_minus_2_at_repetition5,eff_su2,encoder_specific,3,3,0.029083333333333312,0.015645153669214474,0.0129999999999999,0.04425000000000001,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,depth_6_minus_2_at_repetition5,z,encoder_specific,3,3,0.03508333333333339,0.016132911495862583,0.01924999999999999,0.0515000000000001,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,depth_6_minus_2_at_repetition5,zz,encoder_specific,3,3,0.08183333333333327,0.010103629710818565,0.07099999999999984,0.09100000000000008,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,depth_main_6_minus_2,eff_su2,encoder_specific,3,3,0.01445833333333335,0.01400130202278821,0.006250000000000089,0.030625000000000013,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,depth_main_6_minus_2,z,encoder_specific,3,3,0.04283333333333339,0.018151417529585323,0.026499999999999968,0.06237500000000018,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,depth_main_6_minus_2,zz,encoder_specific,3,3,0.06454166666666668,0.017649952785583744,0.046374999999999944,0.08162500000000006,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,feature_z_minus_eff_su2,paired_feature_maps,paired_feature_map,3,3,0.04314583333333336,0.006252603624357918,0.03700000000000003,0.0495000000000001,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,feature_zz_minus_eff_su2,paired_feature_maps,paired_feature_map,3,3,0.05504166666666673,0.0020542765352633344,0.053312499999999985,0.0573125000000001,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,feature_zz_minus_z,paired_feature_maps,paired_feature_map,3,3,0.011895833333333364,0.005019622952307643,0.0078125,0.01750000000000007,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,repetition_5_minus_1_at_depth2,eff_su2,encoder_specific,3,3,0.03341666666666676,0.01535890078532103,0.016750000000000043,0.04700000000000015,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,repetition_5_minus_1_at_depth2,z,encoder_specific,3,3,0.0738333333333333,0.008133008873309632,0.0655,0.08174999999999999,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,repetition_5_minus_1_at_depth2,zz,encoder_specific,3,3,0.025083333333333308,0.02043638503584554,0.008750000000000036,0.04799999999999993,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,repetition_5_minus_1_at_depth6,eff_su2,encoder_specific,3,3,0.06266666666666669,0.0023228933107943654,0.06000000000000005,0.06425000000000003,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,repetition_5_minus_1_at_depth6,z,encoder_specific,3,3,0.05833333333333335,0.006658328118479385,0.051000000000000045,0.06400000000000006,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,repetition_5_minus_1_at_depth6,zz,encoder_specific,3,3,0.059666666666666535,0.0064145017993086995,0.0542499999999998,0.06674999999999998,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,repetition_by_depth_interaction,eff_su2,encoder_specific,3,3,0.029249999999999925,0.017336738447585855,0.0129999999999999,0.04749999999999999,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,repetition_by_depth_interaction,z,encoder_specific,3,3,-0.015499999999999958,0.005814851674806591,-0.021750000000000047,-0.01024999999999987,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,repetition_by_depth_interaction,zz,encoder_specific,3,3,0.03458333333333322,0.015283433296655874,0.018750000000000044,0.049249999999999794,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,repetition_main_5_minus_1,eff_su2,encoder_specific,3,3,0.04804166666666676,0.006745754837920912,0.04050000000000009,0.0535000000000001,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,repetition_main_5_minus_1,z,encoder_specific,3,3,0.06608333333333331,0.006840062743376912,0.058250000000000024,0.07087500000000002,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,repetition_main_5_minus_1,zz,encoder_specific,3,3,0.042374999999999906,0.013076696830622058,0.03337499999999993,0.057374999999999954,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,noisy_shot,1,512,depth_6_minus_2_at_repetition1,eff_su2,encoder_specific,3,3,0.006083333333333403,0.013000801257358455,-0.008749999999999925,0.01550000000000007,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,noisy_shot,1,512,depth_6_minus_2_at_repetition1,z,encoder_specific,3,3,0.05099999999999997,0.017970461874976956,0.04049999999999998,0.07174999999999998,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,noisy_shot,1,512,depth_6_minus_2_at_repetition1,zz,encoder_specific,3,3,0.03275000000000002,0.023643180835073743,0.010750000000000037,0.05774999999999997,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,noisy_shot,1,512,depth_6_minus_2_at_repetition5,eff_su2,encoder_specific,3,3,0.011416666666666667,0.022630639260377346,-0.0030000000000000027,0.03749999999999998,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,noisy_shot,1,512,depth_6_minus_2_at_repetition5,z,encoder_specific,3,3,0.010583333333333314,0.013398538477510677,-0.003250000000000086,0.023499999999999965,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,noisy_shot,1,512,depth_6_minus_2_at_repetition5,zz,encoder_specific,3,3,0.01808333333333334,0.0007637626158259619,0.017249999999999988,0.018749999999999933,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,noisy_shot,1,512,depth_main_6_minus_2,eff_su2,encoder_specific,3,3,0.008750000000000036,0.015218717915777228,-0.005874999999999964,0.024499999999999966,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,noisy_shot,1,512,depth_main_6_minus_2,z,encoder_specific,3,3,0.030791666666666623,0.01505268525324744,0.01862499999999989,0.04762499999999992,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,noisy_shot,1,512,depth_main_6_minus_2,zz,encoder_specific,3,3,0.025416666666666716,0.012186912378996292,0.014000000000000012,0.038250000000000006,percentile cluster bootstrap over trained model-seed blocks,10000
