outcome,attack,factor,contrast,block_id,block_effect,within_block_pairs
auc,max_probability,repetitions,5 - 1,wdbc_b04,-0.034014057750759906,3
auc,max_probability,repetitions,5 - 1,wdbc_b05,-0.04131838905775078,3
auc,max_probability,feature_map,Z - EfficientSU2,wdbc_b01,-0.0030965045592705742,2
auc,max_probability,feature_map,Z - EfficientSU2,wdbc_b02,-0.02003229483282673,2
auc,max_probability,feature_map,Z - EfficientSU2,wdbc_b03,0.004302811550151997,2
auc,max_probability,feature_map,Z - EfficientSU2,wdbc_b04,0.0026073328267477436,2
auc,max_probability,feature_map,Z - EfficientSU2,wdbc_b05,0.029730243161094322,2
auc,max_probability,feature_map,ZZ - EfficientSU2,wdbc_b01,-0.0035714285714285587,2
auc,max_probability,feature_map,ZZ - EfficientSU2,wdbc_b02,-0.03940444528875384,2
auc,max_probability,feature_map,ZZ - EfficientSU2,wdbc_b03,-0.028837386018237043,2
auc,max_probability,feature_map,ZZ - EfficientSU2,wdbc_b04,-0.0008406155015197869,2
auc,max_probability,feature_map,ZZ - EfficientSU2,wdbc_b05,0.0007598784194528252,2
auc,max_probability,feature_map,ZZ - Z,wdbc_b01,-0.0004749240121579845,2
auc,max_probability,feature_map,ZZ - Z,wdbc_b02,-0.019372150455927106,2
auc,max_probability,feature_map,ZZ - Z,wdbc_b03,-0.03314019756838904,2
auc,max_probability,feature_map,ZZ - Z,wdbc_b04,-0.0034479483282675305,2
auc,max_probability,feature_map,ZZ - Z,wdbc_b05,-0.028970364741641497,2
auc,learned_prediction_vector_stats,repetitions,5 - 1,wdbc_b01,0.15861742424242417,3
auc,learned_prediction_vector_stats,repetitions,5 - 1,wdbc_b02,0.07686237373737383,3
auc,learned_prediction_vector_stats,repetitions,5 - 1,wdbc_b03,0.008285984848484843,3
auc,learned_prediction_vector_stats,repetitions,5 - 1,wdbc_b04,-0.013020833333333334,3
auc,learned_prediction_vector_stats,repetitions,5 - 1,wdbc_b05,0.02872474747474753,3
auc,learned_prediction_vector_stats,feature_map,Z - EfficientSU2,wdbc_b01,0.03527462121212113,2
