effective_defense,structural_role,attack,outcome,count,mean,std
hamp_train,high,entropy,tpr_at_10_fpr,1,0.13,
hamp_train,high,label_only_hsj,auc,1,0.685,
hamp_train,high,label_only_hsj,balanced_accuracy,1,0.6,
hamp_train,high,label_only_hsj,tpr_at_5_fpr,1,0.15,
hamp_train,high,label_only_hsj,tpr_at_10_fpr,1,0.3,
hamp_train,high,learned_pv_stats_logistic,auc,1,0.6112,
hamp_train,high,learned_pv_stats_logistic,balanced_accuracy,1,0.62,
hamp_train,high,learned_pv_stats_logistic,tpr_at_5_fpr,1,0.13,
hamp_train,high,learned_pv_stats_logistic,tpr_at_10_fpr,1,0.17,
hamp_train,high,loss,auc,1,0.586,
hamp_train,high,loss,balanced_accuracy,1,0.61,
hamp_train,high,loss,tpr_at_5_fpr,1,0.03,
hamp_train,high,loss,tpr_at_10_fpr,1,0.13,
hamp_train,high,margin,auc,1,0.5861000000000001,
hamp_train,high,margin,balanced_accuracy,1,0.605,
hamp_train,high,margin,tpr_at_5_fpr,1,0.03,
hamp_train,high,margin,tpr_at_10_fpr,1,0.13,
hamp_train,high,maximum_probability,auc,1,0.5861000000000001,
hamp_train,high,maximum_probability,balanced_accuracy,1,0.605,
hamp_train,high,maximum_probability,tpr_at_5_fpr,1,0.03,
hamp_train,high,maximum_probability,tpr_at_10_fpr,1,0.13,
hamp_train,low,confidence,auc,1,0.5689,
hamp_train,low,confidence,balanced_accuracy,1,0.5549999999999999,
hamp_train,low,confidence,tpr_at_5_fpr,1,0.1,
hamp_train,low,confidence,tpr_at_10_fpr,1,0.16,
hamp_train,low,correctness,auc,1,0.53,
hamp_train,low,correctness,balanced_accuracy,1,0.53,
hamp_train,low,correctness,tpr_at_5_fpr,1,0.0,
hamp_train,low,correctness,tpr_at_10_fpr,1,0.0,
hamp_train,low,entropy,auc,1,0.5972000000000001,
hamp_train,low,entropy,balanced_accuracy,1,0.53,
hamp_train,low,entropy,tpr_at_5_fpr,1,0.11,
hamp_train,low,entropy,tpr_at_10_fpr,1,0.18,
hamp_train,low,label_only_hsj,auc,1,0.4425,
hamp_train,low,label_only_hsj,balanced_accuracy,1,0.5,
hamp_train,low,label_only_hsj,tpr_at_5_fpr,1,0.0,
hamp_train,low,label_only_hsj,tpr_at_10_fpr,1,0.0,
hamp_train,low,learned_pv_stats_logistic,auc,1,0.5518000000000001,
hamp_train,low,learned_pv_stats_logistic,balanced_accuracy,1,0.535,
hamp_train,low,learned_pv_stats_logistic,tpr_at_5_fpr,1,0.05,
hamp_train,low,learned_pv_stats_logistic,tpr_at_10_fpr,1,0.15,
hamp_train,low,loss,auc,1,0.5689,
hamp_train,low,loss,balanced_accuracy,1,0.5549999999999999,
hamp_train,low,loss,tpr_at_5_fpr,1,0.1,
hamp_train,low,loss,tpr_at_10_fpr,1,0.16,
hamp_train,low,margin,auc,1,0.5972000000000001,
hamp_train,low,margin,balanced_accuracy,1,0.53,
hamp_train,low,margin,tpr_at_5_fpr,1,0.11,
hamp_train,low,margin,tpr_at_10_fpr,1,0.18,
hamp_train,low,maximum_probability,auc,1,0.5972000000000001,
hamp_train,low,maximum_probability,balanced_accuracy,1,0.53,
hamp_train,low,maximum_probability,tpr_at_5_fpr,1,0.11,
hamp_train,low,maximum_probability,tpr_at_10_fpr,1,0.18,
l2,high,confidence,auc,1,0.4255,
l2,high,confidence,balanced_accuracy,1,0.4399999999999999,
l2,high,confidence,tpr_at_5_fpr,1,0.07,
