target_id,mode,aggregation,attack,simulator_seed,contrast,treatment_queries,treatment_shots,baseline_queries,baseline_shots,auc_difference
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,7,equal_total_5x512_minus_1x2560,5,512,1,2560,0.004999999999999893
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,7,equal_total_20x128_minus_1x2560,20,128,1,2560,0.004999999999999893
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,8,single_shot_512_minus_128,1,512,1,128,-0.0050000000000000044
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,8,single_shot_2560_minus_128,1,2560,1,128,0.0025000000000000577
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,8,repeat_5x128_minus_1x128,5,128,1,128,0.030000000000000027
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,8,repeat_20x128_minus_1x128,20,128,1,128,0.0
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,8,equal_total_5x512_minus_1x2560,5,512,1,2560,-0.0025000000000000577
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,8,equal_total_20x128_minus_1x2560,20,128,1,2560,-0.0025000000000000577
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,9,single_shot_512_minus_128,1,512,1,128,0.007499999999999951
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,9,single_shot_2560_minus_128,1,2560,1,128,0.0024999999999999467
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,9,repeat_5x128_minus_1x128,5,128,1,128,-0.007499999999999951
